Sample:float;Data:float
"12758.0";"1986.0"
"12759.0";"1973.0"
"12760.0";"1957.0"
"12761.0";"1943.0"
"12762.0";"1929.0"
"12763.0";"1914.0"
"12764.0";"1901.0"
"12765.0";"1884.0"
"12766.0";"1867.0"
"12767.0";"1854.0"
"12768.0";"1842.0"
"12769.0";"1828.0"
"12770.0";"1817.0"
"12771.0";"1803.0"
"12772.0";"1790.0"
"12773.0";"1781.0"
"12774.0";"1768.0"
"12775.0";"1755.0"
"12776.0";"1749.0"
"12777.0";"1744.0"
"12778.0";"1732.0"
"12779.0";"1727.0"
"12780.0";"1713.0"
"12781.0";"1707.0"
"12782.0";"1698.0"
"12783.0";"1688.0"
"12784.0";"1681.0"
"12785.0";"1672.0"
"12786.0";"1664.0"
"12787.0";"1653.0"
"12788.0";"1647.0"
"12789.0";"1643.0"
"12790.0";"1637.0"
"12791.0";"1635.0"
"12792.0";"1625.0"
"12793.0";"1619.0"
"12794.0";"1619.0"
"12795.0";"1611.0"
"12796.0";"1605.0"
"12797.0";"1597.0"
"12798.0";"1589.0"
"12799.0";"1581.0"
