Sample:float;Data:float
"8437.0";"1955.0"
"8438.0";"1962.0"
"8439.0";"1970.0"
"8440.0";"1976.0"
"8441.0";"1987.0"
"8442.0";"1996.0"
"8443.0";"2004.0"
"8444.0";"2011.0"
"8445.0";"2014.0"
"8446.0";"2018.0"
"8447.0";"2018.0"
