Sample:float;Data:float
"13045.0";"1471.0"
"13046.0";"1484.0"
"13047.0";"1465.0"
"13048.0";"1511.0"
"13049.0";"1508.0"
"13050.0";"1478.0"
"13051.0";"1523.0"
"13052.0";"1545.0"
"13053.0";"1567.0"
"13054.0";"1597.0"
"13055.0";"1566.0"
