Sample:float;Data:float;Data2:float
"8.463541666666668";"17.0";"2338.0"
"8.528645833333334";"17.0";"2328.0"
"8.59375";"17.0";"2320.0"
"8.658854166666668";"15.0";"2312.0"
"8.723958333333334";"16.0";"2301.0"
"8.7890625";"16.0";"2287.0"
"8.854166666666668";"17.0";"2273.0"
"8.919270833333334";"16.0";"2262.0"
"8.984375";"15.0";"2246.0"
"9.049479166666668";"15.0";"2238.0"
"9.114583333333334";"16.0";"2213.0"
"9.1796875";"21.0";"2203.0"
"9.244791666666668";"18.0";"2194.0"
"9.309895833333334";"33.0";"2177.0"
"9.375";"59.0";"2167.0"
"9.440104166666668";"92.0";"2154.0"
"9.505208333333334";"126.0";"2140.0"
"9.5703125";"159.0";"2128.0"
"9.635416666666668";"197.0";"2129.0"
"9.700520833333334";"240.0";"2112.0"
"9.765625";"287.0";"2079.0"
"9.830729166666668";"336.0";"2076.0"
"9.895833333333334";"389.0";"2055.0"
"9.9609375";"439.0";"2041.0"
"10.026041666666668";"493.0";"2026.0"
"10.091145833333334";"548.0";"2011.0"
"10.15625";"604.0";"1996.0"
"10.221354166666668";"663.0";"1981.0"
"10.286458333333334";"721.0";"1957.0"
"10.3515625";"778.0";"1960.0"
"10.416666666666668";"832.0";"1923.0"
"10.481770833333334";"889.0";"1940.0"
"10.546875";"948.0";"1902.0"
"10.611979166666668";"1008.0";"1896.0"
"10.677083333333334";"1068.0";"1885.0"
"10.7421875";"1131.0";"1869.0"
"10.807291666666668";"1191.0";"1856.0"
"10.872395833333334";"1254.0";"1840.0"
"10.9375";"1319.0";"1827.0"
"11.002604166666668";"1380.0";"1811.0"
"11.067708333333334";"1444.0";"1799.0"
"11.1328125";"1508.0";"1801.0"
"11.197916666666668";"1567.0";"1767.0"
"11.263020833333334";"1627.0";"1775.0"
"11.328125";"1688.0";"1741.0"
"11.393229166666668";"1746.0";"1742.0"
"11.458333333333334";"1807.0";"1731.0"
"11.5234375";"1863.0";"1721.0"
"11.588541666666668";"1912.0";"1712.0"
"11.653645833333334";"1956.0";"1707.0"
"11.71875";"1998.0";"1700.0"
"11.783854166666668";"2040.0";"1691.0"
"11.848958333333334";"2085.0";"1683.0"
"11.9140625";"2130.0";"1673.0"
"11.979166666666668";"2174.0";"1661.0"
"12.044270833333334";"2226.0";"1657.0"
"12.109375";"2279.0";"1640.0"
"12.174479166666668";"2334.0";"1647.0"
"12.239583333333334";"2391.0";"1633.0"
"12.3046875";"2447.0";"1624.0"
"12.369791666666668";"2501.0";"1615.0"
"12.434895833333334";"2560.0";"1609.0"
"12.5";"2622.0";"1600.0"
"12.565104166666668";"2679.0";"1592.0"
"12.630208333333334";"2736.0";"1592.0"
"12.695312500000002";"2792.0";"1576.0"
"12.760416666666668";"2846.0";"1580.0"
"12.825520833333334";"2900.0";"1559.0"
"12.890625000000002";"2953.0";"1558.0"
"12.955729166666668";"3004.0";"1551.0"
"13.020833333333334";"3057.0";"1546.0"
"13.085937500000002";"3112.0";"1541.0"
"13.151041666666668";"3164.0";"1534.0"
"13.216145833333334";"3217.0";"1531.0"
"13.281250000000002";"3276.0";"1523.0"
